0,0,856,215
0,1,892,244
0,2,832,238
0,3,772,281
0,4,857,355
0,5,805,403
0,6,717,304
0,7,648,333
0,8,592,351
0,9,496,369
0,10,483,379
0,11,580,399
0,12,688,411
0,13,748,420
0,14,864,287
0,15,833,187
0,16,804,221
1,0,881,208
1,1,918,237
1,2,855,231
1,3,784,276
1,4,859,355
1,5,806,405
1,6,727,300
1,7,655,331
1,8,597,351
1,9,501,370
1,10,488,381
1,11,582,401
1,12,688,413
1,13,747,422
1,14,874,284
1,15,860,182
1,16,833,215
2,0,906,215
2,1,945,244
2,2,878,236
2,3,799,278
2,4,869,362
2,5,812,410
2,6,741,299
2,7,665,329
2,8,606,348
2,9,507,365
2,10,492,376
2,11,586,398
2,12,691,413
2,13,750,424
2,14,892,290
2,15,887,190
2,16,861,221
3,0,903,222
3,1,939,251
3,2,875,246
3,3,805,287
3,4,877,368
3,5,816,416
3,6,746,306
3,7,671,334
3,8,610,354
3,9,511,372
3,10,494,384
3,11,587,403
3,12,693,418
3,13,753,430
3,14,900,297
3,15,883,197
3,16,857,231
4,0,885,227
4,1,922,254
4,2,861,252
4,3,802,292
4,4,875,373
4,5,813,420
4,6,747,311
4,7,675,337
4,8,615,354
4,9,515,371
4,10,499,381
4,11,588,403
4,12,692,420
4,13,750,432
4,14,895,301
4,15,865,201
4,16,848,235
5,0,870,224
5,1,908,250
5,2,850,249
5,3,796,291
5,4,872,369
5,5,811,416
5,6,744,310
5,7,672,336
5,8,614,353
5,9,513,370
5,10,497,381
5,11,586,400
5,12,690,417
5,13,748,429
5,14,888,297
5,15,850,198
5,16,836,233
6,0,855,218
6,1,893,245
6,2,837,243
6,3,796,287
6,4,872,364
6,5,809,412
6,6,748,307
6,7,679,332
6,8,620,348
6,9,519,364
6,10,504,374
6,11,589,394
6,12,690,412
6,13,747,425
6,14,882,292
6,15,836,193
6,16,823,228
7,0,865,214
7,1,905,241
7,2,845,239
7,3,801,286
7,4,870,363
7,5,808,411
7,6,750,310
7,7,681,335
7,8,620,351
7,9,522,367
7,10,506,378
7,11,589,397
7,12,689,413
7,13,746,425
7,14,884,290
7,15,847,190
7,16,830,224
8,0,903,213
8,1,937,241
8,2,873,236
8,3,810,283
8,4,869,360
8,5,809,413
8,6,753,311
8,7,683,339
8,8,623,357
8,9,523,373
8,10,507,384
8,11,590,401
8,12,690,416
8,13,747,427
8,14,897,289
8,15,886,190
8,16,861,223
9,0,920,214
9,1,955,241
9,2,884,234
9,3,814,278
9,4,868,352
9,5,811,406
9,6,754,308
9,7,683,335
9,8,620,355
9,9,520,370
9,10,505,380
9,11,591,396
9,12,691,409
9,13,750,419
9,14,902,283
9,15,907,193
9,16,876,224
10,0,912,213
10,1,946,240
10,2,879,234
10,3,809,277
10,4,869,346
10,5,811,392
10,6,747,304
10,7,678,329
10,8,615,348
10,9,516,366
10,10,503,376
10,11,590,388
10,12,692,397
10,13,751,406
10,14,901,282
10,15,897,192
10,16,868,223
11,0,893,211
11,1,928,238
11,2,863,234
11,3,799,277
11,4,864,343
11,5,807,385
11,6,739,303
11,7,670,328
11,8,609,347
11,9,510,365
11,10,498,375
11,11,586,385
11,12,689,392
11,13,747,401
11,14,891,281
11,15,878,191
11,16,852,222
12,0,870,213
12,1,906,240
12,2,845,238
12,3,788,282
12,4,863,350
12,5,808,390
12,6,732,306
12,7,665,331
12,8,605,349
12,9,504,368
12,10,492,379
12,11,585,389
12,12,690,397
12,13,750,406
12,14,880,285
12,15,852,193
12,16,832,225
13,0,854,216
13,1,892,242
13,2,832,242
13,3,784,289
13,4,860,354
13,5,806,396
13,6,727,311
13,7,660,337
13,8,602,355
13,9,502,374
